id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop;km_num;latitude_num;longitude_num;data;ano;mes;mes_label;hora;faixa_horaria;acidente_fatal;acidente_grave;indice_severidade;ordem_dia_semana
496665;2023-01-01;domingo;17:00:00;AL;101.0;73;MESSIAS;Reação tardia ou ineficiente do condutor;Capotamento;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Dupla;Curva;Sim;1;0;1;0;0;0;1;1;-9.38720792;-35.8364428;SPRF-AL;DEL01-AL;UOP01-DEL01-AL;73.0;-9.38720792;-35.8364428;2023-01-01;2023;1;2023-01;17;Tarde;0;0;1;6
496629;2023-01-01;domingo;15:15:00;AL;101.0;237.7;SAO BRAS;Velocidade Incompatível;Capotamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;5;0;0;1;4;0;1;1;-10.12581999;-36.789833;SPRF-AL;DEL02-AL;UOP02-DEL02-AL;237.7;-10.12581999;-36.789833;2023-01-01;2023;1;2023-01;15;Tarde;0;1;3;6
496628;2023-01-01;domingo;15:15:00;AL;104.0;18;SAO JOSE DA LAJE;Reação tardia ou ineficiente do condutor;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Reta;Sim;5;0;2;1;2;0;3;2;-9.04193899;-36.03775187;SPRF-AL;DEL01-AL;UOP02-DEL01-AL;18.0;-9.04193899;-36.03775187;2023-01-01;2023;1;2023-01;15;Tarde;0;1;5;6
496645;2023-01-01;domingo;17:45:00;AL;101.0;146;SAO MIGUEL DOS CAMPOS;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Anoitecer;Decrescente;Nublado;Dupla;Curva;Não;1;0;1;0;0;0;1;1;-9.87382885;-36.13882162;SPRF-AL;DEL02-AL;UOP01-DEL02-AL;146.0;-9.87382885;-36.13882162;2023-01-01;2023;1;2023-01;17;Tarde;0;0;1;6
496588;2023-01-01;domingo;08:30:00;AL;101.0;212.7;SAO SEBASTIAO;Ingestão de álcool pelo condutor;Capotamento;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;2;0;0;0;2;0;0;1;-10.01748316;-36.61993072;SPRF-AL;DEL02-AL;UOP02-DEL02-AL;212.7;-10.01748316;-36.61993072;2023-01-01;2023;1;2023-01;8;Manha;0;0;0;6
496548;2023-01-01;domingo;02:00:00;AM;319.0;740;HUMAITA;Ingestão de álcool pelo condutor;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Simples;Reta;Não;2;1;1;0;0;0;1;1;-7.95332769;-63.36137507;SPRF-AM;;UOP05-DEL01-AM;740.0;-7.95332769;-63.36137507;2023-01-01;2023;1;2023-01;2;Madrugada;1;1;6;6
496621;2023-01-01;domingo;14:40:00;BA;324.0;587;CANDEIAS;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;5;0;4;0;1;0;4;2;-12.64715411;-38.47504041;SPRF-BA;DEL01-BA;UOP01-DEL01-BA;587.0;-12.64715411;-38.47504041;2023-01-01;2023;1;2023-01;14;Tarde;0;0;4;6
496681;2023-01-01;domingo;15:30:00;BA;110.0;367.5;CATU;Ultrapassagem Indevida;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Não Informado;Não;2;0;0;1;1;0;1;2;-12.35805642;-38.39315415;SPRF-BA;DEL01-BA;UOP04-DEL01-BA;367.5;-12.35805642;-38.39315415;2023-01-01;2023;1;2023-01;15;Tarde;0;1;3;6
496653;2023-01-01;domingo;17:00:00;BA;242.0;753;CRISTOPOLIS;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;3;0;1;0;2;0;1;2;-12.204657;-44.472342;SPRF-BA;DEL10-BA;UOP01-DEL10-BA;753.0;-12.204657;-44.472342;2023-01-01;2023;1;2023-01;17;Tarde;0;0;1;6
496550;2023-01-01;domingo;05:40:00;BA;101.0;172;FEIRA DE SANTANA;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Fatais;Amanhecer;Crescente;Céu Claro;Simples;Não Informado;Não;1;1;0;0;0;0;0;1;-12.36620293;-38.86819124;SPRF-BA;DEL01-BA;UOP03-DEL01-BA;172.0;-12.36620293;-38.86819124;2023-01-01;2023;1;2023-01;5;Madrugada;1;1;5;6
